sender_id,receiver_id,message,event_type,received_timestamp,propagation_time,detail
gossip-statefulset-2,gossip-statefulset-4,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882277233e+18,,gossip-statefulset-4(10.80.2.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-2
gossip-statefulset-6,gossip-statefulset-4,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743880448998e+18,,gossip-statefulset-4(10.80.2.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-6
gossip-statefulset-1,gossip-statefulset-4,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882529994e+18,,gossip-statefulset-4(10.80.2.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-1
gossip-statefulset-7,gossip-statefulset-4,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743880671736e+18,,gossip-statefulset-4(10.80.2.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-7
gossip-statefulset-8,gossip-statefulset-4,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743880913139e+18,,gossip-statefulset-4(10.80.2.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-8
gossip-statefulset-0,gossip-statefulset-4,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881979474e+18,,gossip-statefulset-4(10.80.2.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-9,gossip-statefulset-4,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881209526e+18,,gossip-statefulset-4(10.80.2.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-9
gossip-statefulset-3,gossip-statefulset-4,nodes10_Mar102025195724_Full1.0-2493-1,received,1.7420743880017157e+18,2.234298,gossip-statefulset-4(10.80.2.5) received: 'nodes10_Mar102025195724_Full1.0-2493-1' from gossip-statefulset-3 in 2.23 ms 
gossip-statefulset-8,gossip-statefulset-9,nodes10_Mar102025195724_Full1.0-2493-1,received,1.742074388101398e+18,2.661248,gossip-statefulset-9(10.80.4.13) received: 'nodes10_Mar102025195724_Full1.0-2493-1' from gossip-statefulset-8 in 2.66 ms 
gossip-statefulset-7,gossip-statefulset-9,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881412111e+18,,gossip-statefulset-9(10.80.4.13) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-7
gossip-statefulset-0,gossip-statefulset-9,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743883053222e+18,,gossip-statefulset-9(10.80.4.13) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-3,gossip-statefulset-9,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881927898e+18,,gossip-statefulset-9(10.80.4.13) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-3
gossip-statefulset-5,gossip-statefulset-9,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881604293e+18,,gossip-statefulset-9(10.80.4.13) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-5
